r2_score_train_P1,r2_score_test_P1,r2_score_train_P2,r2_score_test_P2,r2_score_train_P3,r2_score_test_P3,r2_score_train_P4,r2_score_test_P4,r2_score_train_P5,r2_score_test_P5,r2_score_train_P6,r2_score_test_P6,r2_score_train_P7,r2_score_test_P7,r2_score_train_P8,r2_score_test_P8,r2_score_train_P9,r2_score_test_P9
,,,,,,,,0.8984911082969878,0.4071701343686702,,,,,,,,
,,,,,,,,,,0.5938182917564422,0.12013979207560532,,,,,,
,,,,,,,,,,,,0.6220237035095761,0.2500146082789314,,,,
,,,,,,,,,,,,,,0.8186607839245619,0.3501192886319202,,
,,,,,,,,,,,,,,,,0.831524965799239,0.15202980193997995
0.6702096560410764,0.1534036049130989,,,,,,,,,,,,,,,,
,,0.7831516343369143,0.5443881240350451,,,,,,,,,,,,,,
,,,,0.6894465330979462,0.3855320879327878,,,,,,,,,,,,
,,,,,,0.9030819536646185,0.5492578114778457,,,,,,,,,,
,,,,,,,,0.891588649067357,0.5982552952541854,,,,,,,,
,,,,,,,,,,0.6040781170835814,0.34321612437339577,,,,,,
,,,,,,,,,,,,0.6588724026291959,-0.042942068819329826,,,,
,,,,,,,,,,,,,,0.818508541815441,0.49782721786821005,,
,,,,,,,,,,,,,,,,0.8293868455327188,-1.2466252436027165
0.6416048536335981,0.16528201759683214,,,,,,,,,,,,,,,,
,,0.818600001675794,0.518166189389091,,,,,,,,,,,,,,
,,,,0.6760620755484108,0.4155530651507723,,,,,,,,,,,,
,,,,,,0.8945276661885505,0.5254596872993913,,,,,,,,,,
,,,,,,,,0.8812427773739591,0.4301568886414491,,,,,,,,
,,,,,,,,,,0.6492556541495882,-1.5120603390897673,,,,,,
,,,,,,,,,,,,0.6019809911835421,0.3711532517703756,,,,
,,,,,,,,,,,,,,0.8195528724660176,0.40041088321332596,,
,,,,,,,,,,,,,,,,0.8717201992817667,0.2636747064893502
0.6505464151300613,0.2240061422664481,,,,,,,,,,,,,,,,
,,0.7942146220853595,0.6012362781358205,,,,,,,,,,,,,,
,,,,0.697417332326355,0.2706548732176268,,,,,,,,,,,,
,,,,,,0.8644113601846217,0.7463302756615817,,,,,,,,,,
,,,,,,,,0.9096495880165334,0.33593298308861474,,,,,,,,
,,,,,,,,,,0.5743932637932944,0.24037451080162375,,,,,,
,,,,,,,,,,,,0.5715139128386753,0.5071185480679026,,,,
,,,,,,,,,,,,,,0.8699885382633928,0.15339032851471035,,
,,,,,,,,,,,,,,,,0.8529654831952935,-0.17943042387346697
0.6370068666147538,0.32730099053168293,,,,,,,,,,,,,,,,
,,0.8086634355479602,-0.0213336336577592,,,,,,,,,,,,,,
,,,,0.6773650725303046,0.38315603687956146,,,,,,,,,,,,
,,,,,,0.8934926417636089,0.351380810018764,,,,,,,,,,
,,,,,,,,0.896899229989078,0.47333534074169337,,,,,,,,
,,,,,,,,,,0.6383607718875006,0.1533604767569029,,,,,,
,,,,,,,,,,,,0.5700283347161998,0.5071223233311553,,,,
,,,,,,,,,,,,,,0.8510840617034492,0.32888962203021,,
,,,,,,,,,,,,,,,,0.8284227740135921,0.33158608483559737
0.6388589758834684,0.2542079182388648,,,,,,,,,,,,,,,,
,,0.8312941218110135,0.3426918939658711,,,,,,,,,,,,,,
,,,,0.6934822160747505,0.3104975598336642,,,,,,,,,,,,
,,,,,,0.873180704174915,0.4854538013137909,,,,,,,,,,
,,,,,,,,0.8728909578823805,0.6089144452588611,,,,,,,,
,,,,,,,,,,0.6749466082106459,-0.056270254415126786,,,,,,
,,,,,,,,,,,,0.6175852118187501,0.2693953813906592,,,,
,,,,,,,,,,,,,,0.8500321409271611,0.4017940667800515,,
,,,,,,,,,,,,,,,,0.7954563368660403,0.4193059510910493
0.6398238063141761,0.16245009610573102,,,,,,,,,,,,,,,,
,,0.8249560379944987,0.16640777459248857,,,,,,,,,,,,,,
,,,,0.6880338421438145,0.34468002923393903,,,,,,,,,,,,
,,,,,,0.8747361637320353,0.4760894165352071,,,,,,,,,,
,,,,,,,,0.8949867578113857,0.4778904220558079,,,,,,,,
,,,,,,,,,,0.6146444011261958,-0.10478807220555098,,,,,,
,,,,,,,,,,,,0.6460020730767897,0.06485253137808589,,,,
,,,,,,,,,,,,,,0.8478103300711382,0.2996916101529712,,
,,,,,,,,,,,,,,,,0.8323544030648695,0.012234720830303858
0.6114545926559487,0.42545403917147717,,,,,,,,,,,,,,,,
,,0.8369232831307458,0.46078328899508836,,,,,,,,,,,,,,
,,,,0.679199977671302,0.41602857315415,,,,,,,,,,,,
,,,,,,0.8696467134617742,0.46190490819021945,,,,,,,,,,
,,,,,,,,0.9023335623047951,0.4227459044938221,,,,,,,,
,,,,,,,,,,0.7448085509271289,-1.117524505927023,,,,,,
,,,,,,,,,,,,0.6206163537941285,0.20342108272846138,,,,
,,,,,,,,,,,,,,0.803540405647334,0.5666436772319442,,
,,,,,,,,,,,,,,,,0.8329976660122462,0.3994124124551842
0.6769512051038422,0.05148846751739511,,,,,,,,,,,,,,,,
,,0.8071344755416727,0.5796066751762168,,,,,,,,,,,,,,
,,,,0.67968859296085,0.29018041777473613,,,,,,,,,,,,
,,,,,,0.8808998251459225,0.5131695826448474,,,,,,,,,,
,,,,,,,,0.8894441473169622,0.5318211080875812,,,,,,,,
,,,,,,,,,,0.6425404395154475,0.0899146647097323,,,,,,
,,,,,,,,,,,,0.6188709104368576,0.20113475168003558,,,,
,,,,,,,,,,,,,,0.8317744140003973,0.4295076439433596,,
,,,,,,,,,,,,,,,,0.8634182718457046,0.14516190395373363
0.6687655800924613,-0.04130655691773466,,,,,,,,,,,,,,,,
,,0.8706918539878334,-0.3974352803440331,,,,,,,,,,,,,,
,,,,0.7008218275211532,0.21183804049176225,,,,,,,,,,,,
,,,,,,0.8924038095756046,0.3724767654347184,,,,,,,,,,
,,,,,,,,0.8992904517449476,0.48278450824681474,,,,,,,,
,,,,,,,,,,0.631982485670093,0.05164703511725166,,,,,,
,,,,,,,,,,,,0.6222113981053132,0.07448440789366584,,,,
,,,,,,,,,,,,,,0.8268360666872404,0.5199835647092276,,
,,,,,,,,,,,,,,,,0.835210683101933,0.11390248810704817
0.6186117794618771,0.4212977218466828,,,,,,,,,,,,,,,,
,,0.786166563920006,0.6319849227880062,,,,,,,,,,,,,,
,,,,0.6557328805936364,0.49289226123184693,,,,,,,,,,,,
,,,,,,0.9147671642171168,0.057036712887730934,,,,,,,,,,
,,,,,,,,0.9036392458585939,0.44772321689434347,,,,,,,,
,,,,,,,,,,0.6050137361528223,0.08394469051043885,,,,,,
,,,,,,,,,,,,0.6388301609147111,0.08693083403611401,,,,
,,,,,,,,,,,,,,0.8703636981440145,-0.001645560939289581,,
,,,,,,,,,,,,,,,,0.8268014454044592,0.3300880918849658
0.6392586911075496,0.3031377175529496,,,,,,,,,,,,,,,,
,,0.8312927851997288,0.26872936246967105,,,,,,,,,,,,,,
